,PW01,PW02,PW03,PW04,PW05,PW06,PW07,PW08,PW09,PW010,PW011,PW012,PW013
FPS1,111.6049255185451,72.83182340158729,41.44001085907194,33.18507043837635,26.560485688330324,13.945626554586926,43.68085392938192,59.7307835207274,63.876346952530085,85.06471947875923,111.31963798000781,107.05858442927405,125.72609474568117
FPS2,106.43615786000545,69.86084597254745,44.30505388779027,42.183809690448776,37.789624237348534,19.910424405320946,34.57482465609913,49.461601268054395,52.329406646741184,74.38430210736672,101.11563924537094,97.94026342623344,118.77789777563837
FPS3,108.4691965490664,85.5324365372576,79.34102154623419,85.65551062249293,82.44856942361098,57.857276983971516,22.204166275724024,13.754362944171572,15.483994962541153,48.177091028828215,75.5144131937738,80.5000950309998,111.38384667446172
FPS4,88.06637326471437,63.931033152921906,61.825375049408315,73.16161425228397,73.79353697987379,56.21197203443409,35.30066429969838,34.901810841272976,17.552036918830815,37.504053114296866,65.20216944243498,65.71115582608483,93.3496705939555
FPS5,67.30802329588947,58.6704124751139,75.15196138491663,93.66931461263076,98.27700646641614,85.68987629819523,64.68654264992063,58.68575039990543,30.86258738343239,9.90113629842555,34.862943077141374,35.385224317502924,66.47199184619038
FPS6,58.257497371583,68.36988006425052,95.6412071232897,117.20910758127971,123.78827084986688,113.59663947494222,92.29049138454081,84.2103040013513,56.38666952392206,23.615827319829386,9.504041245701739,12.047974933572862,47.517197939272464
FPS7,26.570700028414763,56.927148180810896,94.48756637780444,119.59572316767854,130.1545316153072,128.45658021292644,117.25588471373197,113.18984053350373,85.5128621904331,55.46225383087132,41.78428053706322,24.348116970312102,11.850476783657259
FPS8,45.15438627641837,19.04438237381302,44.96541448713667,69.24620783840801,79.44003147028582,80.18837384558937,79.25692020259177,81.97925896225215,59.93872287595057,48.71624472391114,62.09795004668028,49.46686264561358,59.15020287370111
FPS9,41.4261680583662,5.837096881155906,41.14938274142153,66.83128384222466,79.07418921493917,84.77758253217651,89.19932398846979,93.47927524323238,72.65966212418002,61.584092913673736,72.59423255328207,58.07960829757722,60.19964202551373
PA,110.81337509524741,78.3886535156715,59.32942777408189,59.37731721794106,54.050014801108055,29.020161956818917,17.831514237439283,32.33113669514265,39.67089613305956,66.92951516334179,94.72748756300888,94.66856922970793,119.82634518335271
PB,22.091324088881592,32.15743304432119,69.43558525712878,94.70552940562656,105.7630682232697,106.47630393660367,100.9029999554027,100.15500436822916,74.27909867519934,50.95890991769741,50.905200127295444,33.494126350749916,32.52067803721195
PC,63.440575344175436,31.541257108745675,36.808299335883476,57.34733210882613,65.03926967609645,62.36533732771755,62.126485495318335,66.88087693803065,48.68318087389114,48.3103353331355,68.76377680145266,60.16343823286698,76.06469943410016
PW01,0.0,41.79057908189357,81.7902958791567,107.63022484413939,120.41594578792295,125.0086289021682,122.48854477052129,122.21355121262125,96.33549553513492,71.56332650177742,65.58030497031864,47.172866141458904,24.75502575235986
PW02,41.79057908189357,0.0,39.99999999999999,65.83999999999999,78.87491679868829,86.68854826330869,93.36819426335715,98.3226535443384,78.10719941209004,67.40249995363672,77.84194306413477,62.841268287646784,62.26555388013504
PW03,81.7902958791567,39.99999999999999,0.0,25.840000000000003,39.55316042998334,54.81335968539057,77.07671308508166,88.64843033015306,79.35196657928523,85.04996766607263,104.81683118659903,94.07776039000929,101.32028029965174
PW04,107.63022484413939,65.83999999999999,25.840000000000003,0.0,16.045725287440263,42.333102886511874,76.47426037563227,91.60439399941468,90.13687480715093,103.3092493438995,125.97954159306978,117.1254208103433,126.86319245549514
PW05,120.41594578792295,78.87491679868829,39.55316042998334,16.045725287440263,0.0,30.83435259576565,69.53160144854999,86.09501785817807,89.560748656987,107.4574785671058,132.06504609471804,125.12825140630713,138.24330472033716
PW06,125.0086289021682,86.68854826330869,54.81335968539057,42.333102886511874,30.83435259576565,0.0,40.876698741459045,58.37058334469513,68.51044445922096,93.42002033825513,120.54858315218806,117.82340429643,138.31354669734992
PW07,122.48854477052129,93.36819426335715,77.07671308508166,76.47426037563227,69.53160144854999,40.876698741459045,0.0,17.723219233536554,37.16272460409758,69.01795491029853,96.80345861589863,100.05675039696223,128.65020520776483
PW08,122.21355121262125,98.3226535443384,88.64843033015306,91.60439399941468,86.09501785817807,58.37058334469513,17.723219233536554,0.0,28.004528205274227,60.611035298862866,87.23494769872909,93.46091589536238,124.93222882827313
PW09,96.33549553513492,78.10719941209004,79.35196657928523,90.13687480715093,89.560748656987,68.51044445922096,37.16272460409758,28.004528205274227,0.0,32.7750270785548,60.031955656966566,65.45709128887412,97.31273811788465
PW010,71.56332650177742,67.40249995363672,85.04996766607263,103.3092493438995,107.4574785671058,93.42002033825513,69.01795491029853,60.611035298862866,32.7750270785548,0.0,27.960788615487935,33.32677602169163,67.27176079158326
PW011,65.58030497031864,77.84194306413477,104.81683118659903,125.97954159306978,132.06504609471804,120.54858315218806,96.80345861589863,87.23494769872909,60.031955656966566,27.960788615487935,0.0,18.412780887198974,51.976807327884224
PW012,47.172866141458904,62.841268287646784,94.07776039000929,117.1254208103433,125.12825140630713,117.82340429643,100.05675039696223,93.46091589536238,65.45709128887412,33.32677602169163,18.412780887198974,0.0,35.50564180521174
PW013,24.75502575235986,62.26555388013504,101.32028029965174,126.86319245549514,138.24330472033716,138.31354669734992,128.65020520776483,124.93222882827313,97.31273811788465,67.27176079158326,51.976807327884224,35.50564180521174,0.0
